典籍編號,典籍名稱,卷數,作譯者,type
JB427,青城竹浪生禪師語錄,7,清 徹生說　如鵬等編（依駒本印）,text
JB428,密行忍禪師語錄,3,清 寂忍說　明廣．明珍等編（依駒本印）　附嗣燈錄,text
JB429,盛京奉天般若古林禪師語錄,6,清 智說　正繼等錄　正燈等編（依駒本印）,text
JB430,玉泉其白富禪師語錄,3,清 德富說　圓頂等編（依駒本印）　附融徹錄,text
JB431,雲峰體宗寧禪師語錄,1,清 寧說　續清等編　德玉序　徹生序　有行實（依駒本印）,text
JB432,幻住明禪師語錄,2,清 明說　清尚等編（依駒本印）,text
JB433,純備德禪師語錄,2,清 廣德說　智遠等編（依駒本印）,text
JB434,法幢遠禪師語錄,1,清 智遠說　通慧等編　弘源序（依駒本印）,text
JB435,伏獅義公禪師語錄,1,清 （尼）說　明元記錄　高以永序　超琛跋　有行狀（依駒本印　原書第十七　十八兩頁缺）,text
JB436,參同一揆禪師語錄,1,清 超琛（尼）說　普明編　明俊錄（依駒本印）,text
JB438,衡山禪師語錄,1,清 燈炳說　宗位編　超源序　藍理序　有塔銘（依駒本印）,text
JB439,高峰三山來禪師疏語,3,清 燈來撰　性統編（依駒本印）,text
JB440,高峰喬松億禪師語錄,2,清 玄億說　燈洪編（依駒本印）,text
JB441,萬峰童真禪師語錄,6,清 至善說　德林記（依駒本印）,text
JB442,大笑崇禪師語錄,3,清 崇說　空情錄（依駒本印）,text
JB443,玉眉亮禪師語錄,1,清 亮說　空謐編　張廷勱序（依駒本印）,text
JB444,卓峰玨禪師語錄,1,清 性玨說　宗位編　超原序　藍理序　有塔銘　附冰玄法師語錄（依駒本印　塔銘有缺頁）,text
JB445,別菴禪師同門錄,3,清 性統錄　弘秀編（依駒本印）,text
JB446,靈隱文禪師語錄,3,清 印文說　福度復編（依駒本印）,text
JB447,東山梅溪度禪師語錄,10,清 福度說　慶緒等編（依駒本印）,text
JB448,靈機禪師語錄,6,清 行觀說　寂方等編（依駒本印）,text
JB449,祖亮啟禪師語錄,2,清 超啟說　廣和記錄（依駒本印）,text
JB450,敏樹禪師語錄,10,清 如相說　道崇編　道領錄（依駒本印）,text
JB451,赤松領禪師語錄,5,清 道領說　寂源錄（依駒本印）,text
JB452,侶巖荷禪師語錄,7,清 荷說　成純等記錄（依駒本印）,text
JB453,元潔瑩禪師語錄,10,清 淨瑩說　智祥編（依駒本印）,text
JB454,頻吉祥禪師語錄,15,清 智祥說　德能等編（依駒本印）,text
JB455,通天逸叟高禪師語錄,1,清 行高說　明德重梓　超原行略（依駒本印）,text
JB456,通天澹崖原禪師語錄,2,清 超原說　明德等編（依駒本印）,text
JB457,白雲象林本真禪師語錄,1,清 本真說　照水重梓　妙心序　有行實（依駒本印）,text
JB458,正覺潤光澤禪師澡雪集,1,清 澤著　照水重編　陳聞道序　有自狀（依駒本印）,text
JB459,香巖洗心水禪師語錄,2,清 照水說　實雲．海清等編,text
JB460,灤州萬善暉州昊禪師語錄,6,清 昊說　性珍．寂寶等錄（依駒本印）,text
JB461,性空臻禪師語錄,6,清 行臻說　超自等編（依駒本印）,text
JB462,何一自禪師語錄,2,清 超自說　明修．明惠．明智等編（依駒本印）,text
JB463,溈山古梅冽禪師語錄,2,清 定冽說　真謙記錄（依駒本印）,text
JB464,華嚴起宗真禪師語錄,2,清 真說　力廣等錄（依駒本印）,text
JB465,子雍如禪師語錄,4,清 成如尼說　祖圓記錄（依駒本印）,text
JB466,山西柏山楷禪師語錄,5,清 德楷說　行悟等編次（依駒本印）,text
JB468,善一純禪師語錄,3,清 如純說　學正錄　附續錄（依駒本印）,text
JB469,善權位禪師語錄,2,清 達位說　大悅等編（依駒本印）,text
JB470,天一悅禪師語錄,1,清 大悅說　學愚錄　有塔銘（依駒本印）,text
JB471,空谷道澄禪師語錄,20,清 道澄說　德儒編（依駒本增入並印）,text
JB472,大博乾禪師語錄,5,清 乾說　超宗等錄（依駒本增入並印）,text
JB473,盤山朗空順禪師語錄,1,清 順說　實性記錄　附了宗見禪師法嗣　瑞亭晟法嗣（依駒本增入並印）,text
JB474,盤山了宗禪師語錄,4,清 超見說　徹凡．心月等錄（依駒本增入並印）,text
JB475,逕庭宗禪師語錄,2,清 德宗說　行謙等編（依駒本增入並印）,text
JB476,別牧純禪師語錄,1,清 純說　福月等編　慧輅序　有行實（依駒本增入並印）,text
JB477,天翼翔禪師語錄,2,清 巨翔說　寂乾錄　際鋒等編（駒本附於前目四七六之後　今分出增入並印）,text
JB478,雲山燕居申禪師語錄,8,清 德申說　合哲等編（依駒本增入並印）,text
JB479,昭覺竹峰續禪師語錄,6,清 真續說　實悟等編（依駒本增入並印）,text
JB480,一貫別傳,5,清 廣真著（依駒本增入並印）,text
JB481,古音王傳,1,清 廣真著並序　古心評并引　凡則　黃毓英評　元善評　前有船子曲　燈輝集　慧澤序（依駒本增入並印）,text
JB483,竺峰敏禪師語錄,6,清 幻敏說　性鉅．性湛．性珩．性濟等編　附後錄（依駒本增入並印）,text
JB484,野雲映禪師宗統頌,1,清 燈映頌　性燦錄　有塔銘　行狀（依駒本增入並印　原書第二十三頁起至末頁缺）,text
JB485,普門顯禪師語錄,2,清 燈顯說　性胤錄（依駒本增入並印）,text
JB486,鑑堂一禪師語錄,1,清 一說　明滿．明慧等錄　杜允貞序（依駒本增入並印）,text
JB487,翠崖必禪師語錄,3,清 必說　道通錄（依駒本增入並印）,text
JB488,斗南暐禪師語錄,3,清 暐說　普潤等錄（依駒本增入並印）,text
JB490,博山粟如瀚禪師語錄,6,清 弘瀚說　傅鵬編（依駒本增入並印）,text
JB491,天寧法舟濟禪師剩語,1,明 道濟撰　如淵等編,text
JB492,萬峰和尚語錄,1,明 時蔚說　普壽集,text
JB493,磬山牧亭樸夫拙禪師語錄,6,清 拙說　光模等編,text
JB494,雨山和尚語錄,20,清 上思說,text
JB495,天然居士懷淨土詩,1,清 朱道則撰　明康錄,text
JB497,鶴山禪師執帚集,2,清 鶴山撰　德敷錄,text
