work,vol
X0299,X15
X0300,X15
X0301,X15
X0302,X15
X0303,X15
X0304,X15
X0305,X15
X0306,X15
X0307,X16
X0308,X16
X0309,X16
X0310,X16
X0311,X16
X0312,X16
X0313,X16
X0314,X16
X0315,X16
X0316,X16
X0317,X16
X0318,X16
X0319,X17
X0320,X17
X0321,X17
X0322,X17
X0323,X17
X0324,X17
X0325,X17
X0326,X17
X0327,X17
X0328,X17
X0329,X17
X0330,X17
X0331,X17
X0332,X18
X0333,X18
X0334,X18
X0335,X18
X0336,X18
X0337,X18
X0338,X18
X0339,X18
X0340,X18
X0341,X19
X0342,X19
X0343,X19
X0344,X19
X0345,X19
X0346,X19
X0347,X19
X0348,X19
X0349,X19
X0350,X19
X0351,X19
X0352,X19
X0353,X19
X0354,X20
X0355,X20
X0356,X20
X0357,X20
X0358,X20
X0359,X20
X0360,X20
X0361,X20
X0362,X20
X0363,X20
X0364,X20
X0365,X20
X0366,X20
X0367,X20..X21
X0368,X21
X0369,X21
X0370,X21
X0371,X21
X0372,X21
X0373,X21
X0374,X21
X0375,X21
X0376,X21
X0377,X21
X0378,X21
X0379,X21
X0380,X21
X0381,X21
X0382,X21
X0383,X21
X0384,X21
X0385,X21
X0386,X21
X0387,X21
X0388,X21
X0389,X21
X0390,X21
X0391,X21
X0392,X21
X0393,X21
X0394,X21
X0395,X22
X0396,X22
X0397,X22
X0398,X22
X0399,X22
X0400,X22
X0401,X22
X0402,X22
X0403,X22
X0404,X22
X0405,X22
X0406,X22
X0407,X22
X0408,X22
X0409,X22
X0410,X22
X0411,X22
X0412,X22
X0413,X22
X0414,X22
X0415,X22
X0416,X22
X0417,X22
X0418,X22
X0419,X22
X0420,X22
X0421,X22
X0422,X22
X0423,X22
X0424,X22
X0425,X22
X0426,X22
X0427,X22
X0428,X22
X0429,X22
X0430,X22
X0431,X22
X0432,X22
X0433,X22
X0434,X22
X0435,X22
X0436,X23
X0437,X23
X0438,X23
X0439,X23
X0440,X23
X0441,X23
X0442,X23
X0443,X23
X0444,X23
X0445,X23
X0446,X23
X0447,X23
X0448,X24
X0449,X24
X0450,X24
X0451,X24
X0452,X24
X0453,X24
X0454,X24
X0455,X24
X0456,X24
X0457,X24
X0458,X24
X0459,X24
X0460,X24
X0461,X24
X0462,X24
X0463,X24
X0464,X24
X0465,X24
X0466,X24
X0467,X24
X0468,X24
X0469,X24
X0470,X24
X0471,X25
X0472,X25
X0473,X25
X0474,X25
X0475,X25
X0476,X25
X0477,X25
X0478,X25
X0479,X25
X0480,X25
X0481,X25
X0482,X25
X0483,X25
X0484,X25
X0485,X25
X0486,X25
X0487,X25
X0488,X25
X0489,X25
X0490,X25
X0491,X25
X0492,X25
X0493,X25
X0494,X25
X0495,X25
X0496,X25
X0497,X25
X0498,X25
X0499,X25
X0500,X25
X0501,X25
X0502,X25
X0503,X25
X0504,X25
X0505,X25
X0506,X25
X0507,X25
X0508,X25
X0509,X25
X0510,X25
X0511,X26
X0512,X26
X0513,X26
X0514,X26
X0515,X26
X0516,X26
X0517,X26
X0518,X26
X0519,X26
X0520,X26
X0521,X26
X0522,X26
X0523,X26
X0524,X26
X0525,X26
X0526,X26
X0527,X26
X0528,X26
X0529,X26
X0530,X26
X0531,X26
X0532,X26
X0533,X26
X0534,X26
X0535,X26
X0536,X26
X0537,X26
X0538,X26
X0539,X26
X0540,X26
X0541,X26
X0542,X26
X0543,X26
X0544,X26
X0545,X26
X0546,X26
X0547,X26
X0548,X26
X0549,X26
X0550,X26
X0551,X26
X0552,X26
X0553,X26
X0554,X26
X0555,X26
X0556,X26
X0557,X26
X0558,X26
X0559,X26
X0560,X26
X0561,X26
X0562,X26
X0563,X26
X0564,X26
X0565,X26
X0566,X26
X0567,X26
X0568,X26
X0569,X26
X0570,X26
X0571,X26
X0572,X26
X0573,X26
X0574,X26
X0575,X26
X0576,X26
X0577,X27
X0578,X27
X0579,X27
X0580,X27
X0581,X27
X0582,X27
X0583,X27
X0584,X27
X0585,X28
X0586,X28
X0587,X28
X0588,X28
X0589,X28
X0590,X28
X0591,X28
X0592,X28
X0593,X28
X0594,X29
X0595,X29
X0596,X29
X0597,X29
X0598,X29
X0599,X29
X0600,X30
X0601,X30
X0602,X30
X0603,X30
X0604,X30
X0605,X30
X0606,X31
X0607,X31
X0608,X31
X0609,X31
X0610,X31
X0611,X31
X0612,X31
X0613,X31
X0614,X31
X0615,X32
X0616,X32
X0617,X32
X0618,X32
X0619,X32
X0620,X32
X0621,X32
X0622,X32
X0623,X32
X0624,X33
X0625,X33
X0626,X33
X0627,X33
X0628,X33
X0629,X33
X0630,X33
X0631,X33
X0632,X33
X0633,X33
X0634,X33
X0635,X34
X0636,X34
X0637,X34
X0638,X34
X0639,X34
X0640,X35
X0641,X35
X0642,X35
X0643,X35
X0644,X35
X0645,X35
X0646,X35
X0647,X35
X0648,X35
X0649,X35
X0650,X35
X0651,X35
X0652,X35
X0653,X35
X0654,X35
X0655,X36
X0656,X36
X0657,X36
X0658,X36
X0659,X36
X0660,X37
X0661,X37
X0662,X37
X0663,X37
X0664,X37
X0665,X37
X0666,X37
X0667,X37
X0668,X37
X0669,X37
X0670,X37
X0671,X37
X0672,X37
X0673,X37
X0674,X37
X0675,X37
X0676,X38
X0677,X38
X0678,X38
X0679,X38
X0680,X38
X0681,X38
X0682,X38
X0683,X38
X0684,X38
X0685,X38
X0686,X38
X0687,X38
X0688,X38
X0689,X38
X0690,X38
X0691,X38
X0692,X38
X0693,X38
X0694,X38
X0695,X38
X0696,X38
X0697,X38
X0698,X38
X0699,X39
X0700,X39
X0701,X39
X0702,X39
X0703,X39
X0704,X39
X0705,X39
X0706,X39
X0707,X39
X0708,X39
X0709,X39
X0710,X39
X0711,X39
X0712,X39
X0713,X39
X0714,X39..X40
X0715,X40
X0716,X40
X0717,X40
X0718,X40
X0719,X40
X0720,X40
X0721,X40
X0722,X40
X0723,X40
X0724,X40
X0725,X40
X0726,X40
X0727,X41
X0728,X41
X0729,X41
X0730,X41
X0731,X41
X0732,X41
X0733,X42
X0734,X42
X0735,X42
X0736,X42
X0737,X43
X0738,X43
X0739,X43..X44
X0740,X44
X0741,X44
X0742,X44
X0743,X44
X0744,X44
X0745,X44
X0746,X44
X0747,X44
X0748,X44
X0749,X44
X0750,X44
X0751,X44
X0752,X45
X0753,X45
X0754,X45
X0755,X45
X0756,X45
X0757,X45
X0758,X45
X0759,X45
X0760,X45
X0761,X45
X0762,X45
X0763,X45
X0764,X45
X0765,X45
X0766,X45
X0767,X45
X0768,X45
X0769,X45
X0770,X45
X0771,X45
X0772,X45
X0773,X46
X0774,X46
X0775,X46
X0776,X46
X0777,X46
X0778,X46
X0779,X46
X0780,X46
X0781,X46
X0782,X46
X0783,X46
X0784,X46
X0785,X46
X0786,X46
X0787,X46
X0788,X46
X0789,X46
X0790,X46
X0791,X46
X0792,X46
X0793,X47
X0794,X47
X0795,X47
X0796,X48
X0797,X48
X0798,X48
X0799,X48
X0800,X48
X0801,X48
X0802,X48
X0803,X48
X0804,X48
X0805,X48
X0806,X48
X0807,X48
X0808,X48
X0809,X49
X0810,X49
X0811,X49
X0812,X49
X0813,X49
X0814,X49
X0815,X49
X0816,X50
X0817,X50
X0818,X50
X0819,X50
X0820,X50
X0821,X50
X0822,X50..X51
X0823,X51
X0824,X51
X0825,X51
X0826,X51
X0827,X51
X0828,X51
X0829,X51
X0830,X51
X0831,X51
X0832,X51
X0833,X51
X0834,X52
X0835,X52
X0836,X53
X0837,X53
X0838,X53
X0839,X53
X0840,X53
X0841,X53
X0842,X53
X0843,X53
X0844,X53
X0845,X53
X0846,X53
X0847,X53
X0848,X53
X0849,X53
X0850,X53
X0851,X53
X0852,X53
X0853,X53
X0854,X53
X0855,X53
X0856,X53
X0857,X53
X0858,X53
X0859,X53
X0860,X53
X0861,X53
X0862,X53
X0863,X54
X0864,X54
X0865,X54
X0866,X54
X0867,X54
X0868,X54
X0869,X54
X0870,X54
X0871,X54
X0872,X54
X0873,X54
X0874,X54
X0875,X54
X0876,X54
X0877,X54
X0878,X54
X0879,X54
X0880,X54
X0881,X55
X0882,X55
X0883,X55
X0884,X55
X0885,X55
X0886,X55
X0887,X55
X0888,X55
X0889,X55
X0890,X55
X0891,X55
X0892,X55
X0893,X55
X0894,X55
X0895,X55
X0896,X55
X0897,X55
X0898,X55
X0899,X55
X0900,X55
X0901,X55
X0902,X55
X0903,X55
X0904,X55
X0905,X55
X0906,X55
X0907,X55
X0908,X55
X0909,X55
X0910,X55
X0911,X55
X0912,X55
X0913,X55
X0914,X55
X0915,X55
X0916,X55
X0917,X55
X0918,X55
X0919,X55
X0920,X55
X0921,X56
X0922,X56
X0923,X56
X0924,X56
X0925,X56
X0926,X56
X0927,X56
X0928,X56
X0929,X56
X0930,X56
X0931,X56
X0932,X56
X0933,X56
X0934,X56
X0935,X56
X0936,X56
X0937,X56
X0938,X56
X0939,X56
X0940,X56
X0941,X56
X0942,X56
X0943,X56
X0944,X56
X0945,X56
X0946,X56
X0947,X56
X0948,X56
X0949,X56
X0950,X57
X0951,X57
X0952,X57
X0953,X57
X0954,X57
X0955,X57
X0956,X57
X0957,X57
X0958,X57
X0959,X57
X0960,X57
X0961,X57
X0962,X57
X0963,X57
X0964,X57
X0965,X57
X0966,X57
X0967,X57
X0968,X57
X0969,X57
X0970,X57
X0971,X57
X0972,X57
X0973,X57
X0974,X57
X0975,X57
X0976,X57
X0977,X57
X0978,X57
X0979,X57
X0980,X57
X0981,X58
X0982,X58
X0983,X58
X0984,X58
X0985,X58
X0986,X58
X0987,X58
X0988,X58
X0989,X58
X0990,X58
X0991,X58
X0992,X58
X0993,X58
X0994,X58
X0995,X58
X0996,X58
X0997,X58
X0998,X58
X0999,X58
X1000,X58
X1001,X58
X1002,X58
X1003,X58
X1004,X58
X1005,X58
X1006,X58
X1007,X58
X1008,X58
X1009,X58
X1010,X58
X1011,X58
X1012,X58
X1013,X58
X1014,X58
X1015,X58
X1016,X58
X1017,X58
X1018,X58
X1019,X58
X1020,X58
X1021,X58
X1022,X58
X1023,X58
X1024,X58
X1025,X58
X1026,X58
X1027,X58
X1028,X58
X1029,X58
X1030,X58
X1031,X58
X1032,X58
X1033,X58
X1034,X59
X1035,X59
X1036,X59
X1037,X59
X1038,X59
X1039,X59
X1040,X59
X1041,X59
X1042,X59
X1043,X59
X1044,X59
X1045,X59
X1046,X59
X1047,X59
X1048,X59
X1049,X59
X1050,X59
X1051,X59
X1052,X59
X1053,X59
X1054,X59
X1055,X59
X1056,X59
X1057,X59
X1058,X59
X1059,X59
X1060,X59
X1061,X59
X1062,X59
X1063,X59
X1064,X59
X1065,X59
X1066,X59
X1067,X59
X1068,X59
X1069,X59
X1070,X59
X1071,X59
X1072,X59
X1073,X59
X1074,X59
X1075,X59
X1076,X59
X1077,X59
X1078,X59
X1079,X59
X1080,X59
X1081,X59
X1082,X59
X1083,X59
X1084,X59
X1085,X59
X1086,X59
X1087,X59
X1088,X59
X1089,X59
X1090,X59
X1091,X59
X1092,X59
X1093,X59
X1094,X59
X1095,X59
X1096,X59
X1097,X59
X1098,X59
X1099,X59
X1100,X59
X1101,X59
X1102,X59
X1103,X59
X1104,X59
X1105,X59
X1106,X59
X1107,X59
X1108,X59
X1109,X59
X1110,X60
X1111,X60
X1112,X60
X1113,X60
X1114,X60
X1115,X60
X1116,X60
X1117,X60
X1118,X60
X1119,X60
X1120,X60
X1121,X60
X1122,X60
X1123,X60
X1124,X60
X1125,X60
X1126,X60
X1127,X60
X1128,X60
X1129,X60
X1130,X60
X1131,X60
X1132,X60
X1133,X60
X1134,X60
X1135,X60
X1136,X60
X1137,X60
X1138,X60
X1139,X60
X1140,X61
X1141,X61
X1142,X61
X1143,X61
X1144,X61
X1145,X61
X1146,X61
X1147,X61
X1148,X61
X1149,X61
X1150,X61
X1151,X61
X1152,X61
X1153,X61
X1154,X61
X1155,X61
X1156,X61
X1157,X61
X1158,X61
X1159,X61
X1160,X61
X1161,X61
X1162,X61
X1163,X61
X1164,X61
X1165,X61
X1166,X61
X1167,X61
X1168,X61
X1169,X61
X1170,X62
X1171,X62
X1172,X62
X1173,X62
X1174,X62
X1175,X62
X1176,X62
X1177,X62
X1178,X62
X1179,X62
X1180,X62
X1181,X62
X1182,X62
X1183,X62
X1184,X62
X1185,X62
X1186,X62
X1187,X62
X1188,X62
X1189,X62
X1190,X62
X1191,X62
X1192,X62
X1193,X62
X1194,X62
X1195,X62
X1196,X62
X1197,X62
X1198,X62
X1199,X62
X1200,X62
X1201,X62
X1202,X62
X1203,X62
X1204,X62
X1205,X62
X1206,X62
X1207,X62
X1208,X62
X1209,X62
X1210,X62
X1211,X62
X1212,X62
X1213,X62
X1214,X62
X1215,X62
X1216,X62
X1217,X63
X1218,X63
X1219,X63
X1220,X63
X1221,X63
X1222,X63
X1223,X63
X1224,X63
X1225,X63
X1226,X63
X1227,X63
X1228,X63
X1229,X63
X1230,X63
X1231,X63
X1232,X63
X1233,X63
X1234,X63
X1235,X63
X1236,X63
X1237,X63
X1238,X63
X1239,X63
X1240,X63
X1241,X63
X1242,X63
X1243,X63
X1244,X63
X1245,X63
X1246,X63
X1247,X63
X1248,X63
X1249,X63
X1250,X63
X1251,X63
X1252,X63
X1253,X63
X1254,X63
X1255,X63
X1256,X63
X1257,X63
X1258,X63
X1259,X63
X1260,X64
X1261,X64
X1262,X64
X1263,X64
X1264,X64
X1265,X64
X1266,X64
X1267,X64
X1268,X64
X1269,X64
X1270,X64
X1271,X64
X1272,X64
X1273,X64
X1274,X64
X1275,X64
X1276,X64
X1277,X65
X1278,X65
X1279,X65
X1280,X65
X1281,X65
X1282,X65
X1283,X65
X1284,X65
X1285,X65
X1286,X65
X1287,X65
X1288,X65
X1289,X65
X1290,X65
X1291,X65
X1292,X65
X1293,X65
X1294,X65
X1295,X65
X1296,X66
X1297,X66
X1298,X66
X1299,X67
X1300,X67
X1301,X67
X1302,X67
X1303,X67
X1304,X67
X1305,X67
X1306,X67
X1307,X67
X1308,X67
X1309,X67
X1310,X67
X1311,X67
X1312,X67
X1313,X67
X1314,X68
X1315,X68
X1316,X68
X1317,X68
X1318,X68
X1319,X68
X1320,X69
X1321,X69
X1322,X69
X1323,X69
X1324,X69
X1325,X69
X1326,X69
X1327,X69
X1328,X69
X1329,X69
X1330,X69
X1331,X69
X1332,X69
X1333,X69
X1334,X69
X1335,X69
X1336,X69
X1337,X69
X1338,X69
X1339,X69
X1340,X69
X1341,X69
X1342,X69
X1343,X69
X1344,X69
X1345,X69
X1346,X69
X1347,X69
X1348,X69
X1349,X69
X1350,X69
X1351,X69
X1352,X69
X1353,X69
X1354,X69
X1355,X69
X1356,X69
X1357,X69
X1358,X69
X1359,X69
X1360,X69
X1361,X69
X1362,X69
X1363,X69
X1364,X69
X1365,X69
X1366,X69
X1367,X69
X1368,X69
X1369,X69
X1370,X69
X1371,X69
X1372,X69
X1373,X70
X1374,X70
X1375,X70
X1376,X70
X1377,X70
X1378,X70
X1379,X70
X1380,X70
X1381,X70
X1382,X70
X1383,X70
X1384,X70
X1385,X70
X1386,X70
X1387,X70
X1388,X70
X1389,X70
X1390,X70
X1391,X70
X1392,X70
X1393,X70
X1394,X70
X1395,X70
X1396,X70
X1397,X70
X1398,X70
X1399,X70
X1400,X70
X1401,X70
X1402,X70
X1403,X70
X1404,X71
X1405,X71
X1406,X71
X1407,X71
X1408,X71
X1409,X71
X1410,X71
X1411,X71
X1412,X71
X1413,X71
X1414,X71
X1415,X71
X1416,X71
X1417,X71
X1418,X71
X1419,X71
X1420,X71
X1421,X71
X1422,X71
X1423,X71
X1424,X71
X1425,X71
X1426,X71
X1427,X72
X1428,X72
X1429,X72
X1430,X72
X1431,X72
X1432,X72
X1433,X72
X1434,X72
X1435,X72
X1436,X72
X1437,X72
X1438,X72
X1439,X72
X1440,X72
X1441,X72
X1442,X72
X1443,X72
X1444,X72
X1445,X73
X1446,X73
X1447,X73
X1448,X73
X1449,X73
X1450,X73
X1451,X73
X1452,X73
X1453,X73
X1454,X73
X1455,X73
X1456,X73
X1457,X73
X1458,X73
X1459,X74
X1460,X74
X1461,X74
X1462,X74
X1463,X74
X1464,X74
X1465,X74
X1466,X74
X1467,X74
X1468,X74
X1469,X74
X1470,X74
X1471,X74
X1472,X74
X1473,X74
X1474,X74
X1475,X74
X1476,X74
X1477,X74
X1478,X74
X1479,X74
X1480,X74
X1481,X74
X1482,X74
X1483,X74
X1484,X74
X1485,X74
X1486,X74
X1487,X74
X1488,X74
X1489,X74
X1490,X74
X1491,X74
X1492,X74
X1493,X74
X1494,X74
X1495,X74
X1496,X74
X1497,X74
X1498,X74
X1499,X74
X1500,X74
X1501,X74
X1502,X74
X1503,X74
X1504,X74
X1505,X74
X1506,X74
X1507,X74
X1508,X75
X1509,X75
X1510,X75
X1511,X75
X1512,X75
X1513,X75
X1514,X75
X1515,X75
X1516,X76
X1517,X76
X1518,X76
X1519,X76
X1520,X76
X1521,X77
X1522,X77
X1523,X77
X1524,X77
X1525,X77
X1526,X77
X1527,X77
X1528,X77
X1529,X77
X1530,X77
X1531,X77
X1532,X77
X1533,X77
X1534,X77
X1535,X77
X1536,X77
X1537,X77
X1538,X77
X1539,X78
X1540,X78
X1541,X78
X1542,X78
X1543,X78
X1544,X78
X1545,X78
X1546,X78
X1547,X78
X1548,X78
X1549,X78
X1550,X78
X1551,X78
X1552,X78
X1553,X78
X1554,X78
X1555,X78
X1556,X78
X1557,X79
X1558,X79
X1559,X79
X1560,X79
X1561,X79
X1562,X79
X1563,X79
X1564,X80
X1565,X80
X1566,X80
X1567,X80
X1568,X80..X81
X1569,X81
X1570,X81
X1571,X81..X82
X1572,X83
X1573,X83
X1574,X83
X1575,X83
X1576,X83
X1577,X83
X1578,X83
X1579,X84
X1580,X84
X1581,X84
X1582,X84
X1583,X84
X1584,X84
X1585,X84
X1586,X85
X1587,X85
X1588,X85
X1589,X85
X1590,X85
X1591,X85
X1592,X85
X1593,X85
X1594,X85
X1595,X86
X1596,X86
X1597,X86
X1598,X86
X1599,X86
X1600,X86
X1601,X86
X1602,X86
X1603,X86
X1604,X86
X1605,X86
X1606,X86
X1607,X86
X1608,X86
X1609,X86
X1610,X86
X1611,X86
X1612,X87
X1613,X87
X1614,X87
X1615,X87
X1616,X87
X1617,X87
X1618,X87
X1619,X87
X1620,X87
X1621,X87
X1622,X87
X1623,X87
X1624,X87
X1625,X87
X1626,X87
X1627,X87
X1628,X87
X1629,X87
X1630,X87
X1631,X87
X1632,X87
X1633,X87
X1634,X87
X1635,X87
X1636,X87
X1637,X87
X1638,X87
X1639,X87
X1640,X88
X1641,X88
X1642,X88
X1643,X88
X1644,X88
X1645,X88
X1646,X88
X1647,X88
X1648,X88
X1649,X88
X1650,X88
X1651,X88
X1652,X88
X1653,X88
X1654,X88
X1655,X88
X1656,X88
X1657,X88
X1658,X88
X1659,X88
X1660,X88
X1661,X88
X1662,X88
X1663,X88
X1664,X88
X1665,X88
X1666,X88
X1667,X88
X1668,X88
X1669,X88
X1670,X88
X1671,X88
