id,title,byline
B0037,集量論釋略抄,呂澂輯
B0038,安慧三十唯識釋略抄,呂澂輯
B0039,觀所緣釋論會譯,呂澂．印滄編
B0040,集量論略解,陳那著 法尊譯編
B0041,正理滴論（譯自梵文本）,法稱著 王森譯
B0042,正理滴論（譯自西藏文本）,法稱著 楊化群譯
B0043,釋量論略解,法稱著 僧成釋 法尊譯
B0044,入中論善顯密意疏,宗喀巴造 法尊譯
B0045,入中論講記,月稱造頌 法尊譯講
B0046,中論略義,宗喀巴著 潭影譯
B0047,中論文句釋,僧成釋 常浩譯
B0048,辨了不了義善說藏論,宗喀巴造 法尊譯
B0049,菩提道炬論,阿底霞造 超一譯
B0050,地道建立,三寶無畏王造 法尊譯
B0051,菩提道次恒修教授,札迦說 法尊譯
B0052,緣起讚,宗喀巴著 法尊譯
B0053,集諸學頌,寂靜造 超一譯
B0054,菩提道次第論攝頌,宗喀巴造 超一譯
B0055,菩提道次第論極略頌,宗喀巴著 超一譯
B0056,西藏法寶貫珠,達瓦桑杜譯英 伊文思溫慈編註 趙洪鑄譯漢
B0057,密宗道次第論,克主著 法尊譯
B0058,涅般道大手印瑜伽法要釋,白蓮花造 光明心譯
B0059,明行道六成就法,珀瑪迦爾著 張妙定蓮菩提金剛正譯
B0060,頗哇心要轉識自在法,達瓦桑杜譯英 伊文思溫慈纂集 張妙定蓮菩提金剛正譯漢
B0061,椎擊三要訣勝法解,大善解功德主著 貢噶傳 滿空譯
B0062,貢噶上師恒河大手印直講,貢噶講
B0063,大密妙義深道六法引導廣論纂要,吉祥造 鍾伯毅纂
B0064,大圓滿,郭元興著 慈威校註
B0065,菩提道次第略論,宗喀巴著 邢肅芝譯
B0066,菩提道次第直講,宗喀巴著 大勇口譯 智湛筆錄
B0067,菩提道次第廣論,宗喀巴著 法尊譯
B0068,密宗道次第廣論,宗喀巴著 法尊譯
B0069,七系付法傳,多羅那他著 郭元興譯
B0070,安樂妙寶,金慧暢編
B0071,蓮華生大士應化史略,諾那呼圖克圖逞列匠磋譯
B0072,阿底峽尊者傳,法尊譯述
B0073,木納記,惹穹多傑札把著 多傑譯述 張心若筆錄
B0074,宗喀巴大師傳,法尊譯述
B0075,西藏王臣護法記,第五世達賴喇嘛著 郭和卿譯
B0076,印度佛教史,達喇那他著 王沂暖譯
B0077,洛陽伽藍記校釋,楊衒之著 周祖謨校釋
B0078,洛陽伽藍記校注,楊衒之著 范祥雍校注
B0079,釋氏六帖,義楚集
B0080,大唐西域記（校點本）,玄奘口述 辯機編纂
B0081,雙峰山曹侯溪寶林傳（殘卷）,智炬著
B0082,傳燈玉英集（殘卷）,王隨編
B0084,藏逸經書標目,密藏編
B0085,憨山大師年譜疏註,福善記錄 福徵述疏
B0086,南朝寺考,劉世珩著
B0087,合訂天台三聖二和詩集,寒山．豐干．拾得原詩 梵琦．濟岳和
B0088,古今圖書集成選輯（下）,""
B0089,太平廣記選輯（卷八十七～一三四）,李昉等編纂
B0090,酉陽雜俎選輯（前集、續集等六篇）,段成式著
B0091,正史選輯（晉書、宋書、梁書、魏書、隋書、舊唐書、元史、明史）,""
B0092,唐會要、五代會要、明書、明會典選輯,""
B0093,象教皮編（六卷全）,陳士元編
B0094,冊府元龜選輯,王欽若、楊億等著
B0095,入唐求法巡禮行記,圓仁著
B0096,佛教繪畫史料,""
B0097,歸元鏡,智達著
B0098,高旻寺規約,來果著
B0099,相宗絡索,王夫之著
B0101,絕觀論,菩提達磨（？）著
B0103,禪林象器箋,無著道忠著
B0116,金剛般若波羅蜜經集註,明成祖朱棣集註
B0117,三藏法數,一如等編 丁福保重校
B0118,律宗燈譜,源諒著 劉霞彩編
B0119,天然和尚年譜,汪宗衍著
B0130,靈峰宗論（選錄〈蕅益大師年譜〉、〈書重刻靈峰宗論後〉、〈刻闢邪集序〉）,智旭著
B0131,法海觀瀾,智旭輯
B0132,尚直編,空谷景隆著
B0133,尚理編,空谷景隆著
B0134,闢邪集（選錄）,鍾始聲著
B0135,蒲室集,笑隱大訢著
B0136,選佛譜,智旭著
B0137,正名錄,智楷著
B0138,開元寺志,元賢纂修
B0139,獻花巖志,陳沂著
B0140,雪峰志,徐𤊹纂輯
B0141,嵩山少林寺輯志,輯自傅梅撰《嵩書》
B0142,新校定的敦煌寫本神會和尚遺著兩種,胡適校定
B0143,神會和尚語錄的第三個敦煌寫本：南陽和尚問答雜徵義（劉澄集）,胡適校定
B0144,祖堂集,靜、筠二禪德編著
B0145,天目中峰廣錄,中峰明本著
B0146,房山雲居寺石經──經文、題記、碑銘等拓片之選輯,""
B0147,三階教殘卷,矢吹慶輝輯
B0148,東坡禪喜集,徐長孺輯
B0149,鳴道集說,李屏山著
B0150,道餘錄（選錄「姚少師道餘錄跋」）,姚廣孝著
B0151,新續高僧傳,喻謙著
B0152,普濟玉琳國師語錄,音緯等編
B0153,法藏碎金錄,晁逈著
B0155,聖朝破邪集,徐昌治編
B0156,佛法金湯,屠隆著
B0157,楊仁山居士遺書,楊文會著
B0158,陰騭文圖,費丹旭繪圖 許光清集證
B0159,了凡四訓,袁了凡著
B0160,金陵梵剎志,葛寅亮著
B0161,武林梵志,吳之鯨著
B0163,重修曹溪通志,馬元、釋真樸重修
B0169,朝鮮寺剎史料,""
B0170,朝鮮佛教通史,李能和著
B0171,八宗綱要鈔,凝然述
B0172,出定後語,富永仲基著
B0173,元亨釋書,師鍊著
B0174,參天台五台山記,成尋著
B0175,喫茶養生記,榮西著
B0176,四宗要文,日朝著 英園纂補
B0177,本朝諸宗要集,義觀述
B0178,東大寺六宗未決義,""
B0179,八海含藏,師鍊著
B0180,華嚴通關,定仙著
B0181,諸宗教理同異釋,賴瑜釋
B0182,內典塵露章,凝然述
B0183,禪祖念佛集,慧中集
B0184,顯揚正法復古集,普寂著
B0185,初學題額集,良山集
B0186,三國佛法傳通緣起,凝然述
B0187,二障義,元曉著
B0189,大華嚴一乘法界圖註并序,雪岑著
B0190,華嚴經釋題,雪岑著
B0191,義相法師法性偈,有聞科註 聖奎證正
B0192,釋文紀,梅鼎祚輯
B0193,吳都法乘,周永年編
B0194,中華大藏經總目錄,蔡念生編
B0195,頓悟大乘政理決,王錫著
B0196,大乘中宗見解,""
B0197,摩訶婆羅多的故事,拉賈戈帕拉查理改寫 唐季雍譯
B0198,博伽梵歌,雅蘇瑪蒂書達．踏薩譯
C1163,一切經音義,唐 玄應撰
C1169,紹興重雕大藏音,宋 處觀著
C1665,菩薩名經,宋 羅濬集
C1679,御製佛賦,宋 趙炅撰
C1680,御製詮源歌,宋 趙炅撰
C1710,古尊宿語錄,宋 頤藏主集　明 淨戒重校
C1720,禪宗頌古聯珠通集,宋 法應集　元 普會續集　明 淨戒重校
C1821,楞伽經纂,劉宋 求那跋陀羅譯經　宋 楊彥國詮註
C1937,大明重刊三藏聖教目錄,明 雙徑山僧眾編
D8724,報恩金剛經文十二段,唐 楊仙鸖撰
D8779,鳩摩羅什法師誦法（後殘）,東晉 釋慧融等集
D8838,金剛般若波羅蜜經（註解）,元 釋思聰註解
D8842,般若心經註解,日本 釋圓耳撰
D8859,楞嚴妙指,明 釋弘演撰
D8862,楞嚴經四依解,明 釋觀衡述
D8863,大日經疏指心鈔,唐 釋一行撰
D8864,大日經劫心義章,日本 釋運敞撰
D8874,成實論義記（存卷中　前殘）,唐 釋其甲撰
D8879,成唯識論訂正,明 釋廣伸撰
D8880,成唯識論述記序釋,日本 釋善珠撰
D8881,菩提心論問題,日本 釋善珠撰
D8882,菩提心論口筆,日本 釋實順撰
D8885,因明入正理論後記,清 吳樹虛撰
D8888,表無表章詮要鈔,唐 釋窺基撰
D8889,教相樞要鈔,日本 釋高範撰
D8890,唐三藏法師唯識量質疑錄,清 吳樹虛撰
D8891,表無表章詳體文集,日本 釋叡尊撰
D8892,略述法相義依釋,日本 釋高範撰
D8893,法宗原私記,日本 釋龍謙撰
D8895,略述法相義,日本 釋良光撰
D8896,唯識義,日本 釋真興撰
D8898,脩大方廣佛華嚴法界觀,唐 釋杜順編
D8899,圭峰禪師原人論發微錄,宋 釋淨源撰
D8903,天台名目類聚鈔,日本 釋貞舜撰
D8905,選擇傳弘決疑鈔,日本 釋良忠撰
D8913,識知淨土論,日本 弁阿撰
D8930,特賜興禪大燈國師參詳語要,日本 釋妙超撰
D8936,正信念佛偈私見聞,日本 釋空誓撰
D8942,四家錄,元 釋海島編
D8945,雪峰空和尚外集,宋 釋慧空撰　釋惠然編
D8948,佛國禪師語錄,元 釋無學撰　釋妙環等編
D8951,如來香,清 唐時編
D8954,儀註備簡,明 釋大惠撰
D8980,冥樞會要,宋 釋祖心編
D9000,空谷集,明 釋景隆撰
D9010,閱藏隨錄,明 王芥庵撰
D9021,知儒編,明 周夢秀撰
D9025,淨土三部經音義集,日本 釋信瑞撰
D9031,僧家禮儀文,朝鮮 釋冲絢撰
F0041,比丘尼羯磨經,劉宋 求那跋摩譯
F0069,因果本起經,宋 求那跋陀羅譯
F0088,佛說灌頂章句拔除過罪生死得度經,東晉 帛尸梨密多羅譯
F0089,佛說恒水流樹經,劉宋 天竺三藏求那跋陀羅譯
F0100,金剛般若波羅蜜經（御注並序）,唐 玄宗李隆基注
F0248,佛說救護身命經,比丘道真譯
F0546,大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」）,遼 通理大師集
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,唐 南天竺國三藏金剛智譯
F1048,一切如來白傘蓋大佛頂陀羅尼,唐 不空譯
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,唐 不空譯
F1056,梵本般若波羅蜜多心經,唐 不空譯
F1060,梵本般若波羅蜜多心經,宋 慈賢譯
F1061,大隨求陀羅尼,宋 慈賢譯
F1062,佛頂尊勝陀羅尼,宋 慈賢譯
F1063,一切如來白傘蓋大佛頂陀羅尼,宋 慈賢譯
F1064,大悲心陀羅尼,宋 慈賢譯
F1071,釋教最上乘秘密藏陀羅尼集,行琳集
F1072,一切佛菩薩名集,德雲集
F1076,發菩提心戒,石經寺主講經律沙門志仙記
F1081,一乘法界圖合詩一印,儼法師造
F1082,釋華嚴漩澓偈,南岳般舟道場比丘惟勁釋
F1083,漩澓偈,杜順法師造
F1084,健拏標訶一乘修行者秘密義記,大香山隱士釋法藏述
F1098,高上玉皇本行集經髓,儼法師造
F1099,無上玉皇心印經,杜順法師造
G1222,一字頂輪王瑜伽經,唐 不空譯
G1977,科始終心要,唐 湛然述
G2073,大明太宗文皇帝御製文殊讚,明 太宗御製
G2075,御製釋迦牟尼佛讚,明 太宗御製
G2084,坐禪箴,日本 道元撰
G2086,三根坐禪說,日本 瑩山撰
GA0008,重修普陀山志,明 周應賓撰
GA0009,普陀洛迦新志,民國 王亨彥撰
GA0010,明州阿育王山志,明 郭子章撰
GA0011,明州阿育王山續志,清 釋畹荃撰
GA0017,玉岑山慧因高麗華嚴教寺志,明 李翥撰 清 丁丙補
GA0032,徑山志,明 宋奎光撰
GA0043,寒山寺志,清 葉昌熾纂
GA0049,峨眉山志,清 蔣超撰 民國 釋印光重修
GA0062,泉州開元寺志,明 釋元賢撰
GA0077,九華山志,民國 釋印光重修
GA0081,清涼山志,民國 釋印光重修
GA0084,雞足山寺志,明 錢邦纂 清 范承勳增修
GA0002,洛陽伽藍記集證,清 吳若準集證
GA0003,洛陽伽藍記鉤沈,民國 唐晏鉤沈
GA0004,洛陽伽藍記合校本,民國 張宗祥合校
GA0005,南朝佛寺志,清 孫文川撰　陳作霖編
GA0012,天童寺志,清 聞性道．釋德介撰
GA0013,七塔寺志,民國 陳寥士撰
GA0014,明州岳林寺志,清 戴明琮撰
GA0015,大昭慶律寺志,清 吳樹虛撰
GA0018,鳳凰山聖果寺志,清 釋超乾撰
GA0019,武林理安寺志,清 杭世駿撰
GA0020,龍井見聞錄,清 汪孟鋗撰
GA0021,武林靈隱寺志,清 孫治撰　徐增重編
GA0022,增修雲林寺志,清 厲鶚．張熷撰
GA0023,雲林寺續志,清 沈鑅彪撰
GA0024,杭州上天竺講寺志,明 釋廣賓撰
GA0025,雲居聖水寺志,清 釋𧧌湛．釋明倫原輯　釋通淵．釋實懿重纂
GA0028,龍興祥符戒壇寺志,清 張大昌撰
GA0029,西谿梵隱志,清 吳本泰撰　釋智一編
GA0030,崇福寺志,清 朱文藻撰
GA0031,續崇福寺志,清 章庭棫撰
GA0036,破山興福寺志,明 程嘉燧撰　蘇先繪圖
GA0086,黃檗山寺志,清 性幽獨往等編訂續修
GA0089,天台山方外志,清 釋傳燈編撰
GB0109,徑山集,明 釋宗淨集
I0001,宕昌公暉福寺碑,顏娟英主編
I0002,姚伯多等造像記,顏娟英主編
I0003,元景造石窟記,顏娟英主編
I0004,韓貞等造石窟記,顏娟英主編
I0005,劉未等造像記,顏娟英主編
I0006,高伏德等三百人造像記,顏娟英主編
I0007,比丘法雅等千人造九級浮圖碑,顏娟英主編
I0008,張道智造像記,顏娟英主編
I0009,高洛周七十人等造像記,顏娟英主編
I0010,僧暈等造像記,顏娟英主編
I0011,馮神育等二百廿人造像碑,顏娟英主編
I0012,嵩顯寺碑,顏娟英主編
I0013,南石窟寺碑,顏娟英主編
I0014,比丘郭曇勝造像記,顏娟英主編
I0015,張安世造像記,顏娟英主編
I0016,比丘劉僧真等造像記,顏娟英主編
I0017,夫蒙文慶造像記,顏娟英主編
I0018,張乾度七十人等造像記,顏娟英主編
I0019,錡雙胡廿人等造像記,顏娟英主編
I0020,袁永等五十人造像記,顏娟英主編
I0021,馬鳴寺根法師碑,顏娟英主編
I0022,比丘尼統慈慶墓誌銘,顏娟英主編
I0023,孫遼浮圖銘,顏娟英主編
I0024,仇臣生造像記,顏娟英主編
I0025,常煥等造浮圖記,顏娟英主編
I0026,蔣伯仙造像記,顏娟英主編
I0027,杜善勝合邑七十人造像記,顏娟英主編
I0028,大覺寺元尼墓誌銘并序,顏娟英主編
I0029,僧智薛鳳規等道俗造像記,顏娟英主編
I0030,廣業寺造像碑,顏娟英主編
I0031,儁蒙文姬卅一人等造像記,顏娟英主編
I0032,大魏故昭玄沙門大統令法師墓誌銘,顏娟英主編
I0033,法義兄弟等二百人造像記,顏娟英主編
I0034,中岳嵩陽寺碑,顏娟英主編
I0035,張法壽息榮遷等造像記,顏娟英主編
I0036,安村道俗一百餘人修塔記,顏娟英主編
I0037,白實等造中興寺石像記,顏娟英主編
I0038,僧演造像記,顏娟英主編
I0039,合邑四十人造像記,顏娟英主編
I0040,凝禪寺三級浮圖碑,顏娟英主編
I0041,敬史君碑,顏娟英主編
I0042,巨始光等造像碑,顏娟英主編
I0043,李氏合邑造像碑,顏娟英主編
I0044,李贊邑等邑義五百餘人造像碑,顏娟英主編
I0045,道俗九十人造像記,顏娟英主編
I0046,王貳郎法義三百人等造像記,顏娟英主編
I0047,朱永隆七十人等造像記,顏娟英主編
I0048,報德玉像七佛頌碑,顏娟英主編
I0049,杜照賢十三人等造像記,顏娟英主編
I0050,陳神姜等造像記,顏娟英主編
I0051,邑子七十人等造大道如來記,顏娟英主編
I0052,比丘道造像記,顏娟英主編
I0053,杜英儁等十四人造像記,顏娟英主編
I0054,道俗卅七人造經像記,顏娟英主編
I0055,邢多五十人等造像記,顏娟英主編
I0056,馬敬賢五十人等造像記,顏娟英主編
I0057,葉容等造像記,顏娟英主編
I0058,李清造報德像碑,顏娟英主編
I0059,郭猛八十人等造塔像記,顏娟英主編
I0060,趙郡王高叡定國寺碑,顏娟英主編
I0061,趙郡王高叡修定國寺頌,顏娟英主編
I0062,靜明等修塔造像記,顏娟英主編
I0063,劉碑造像記,顏娟英主編
I0064,強獨樂為周文王造像碑,顏娟英主編
I0065,宋敬業等造塔記,顏娟英主編
I0066,魯思明等造寺記,顏娟英主編
I0067,董黃頭七十人等造像記,顏娟英主編
I0068,東平郡須昌縣□檀寺造經碑,顏娟英主編
I0069,方法師鏤石班經記,顏娟英主編
I0070,周大將軍延壽公碑頌,顏娟英主編
I0071,陳神忻七十二人等造石室記,顏娟英主編
I0072,彭城王高浟修寺碑,顏娟英主編
I0073,標異鄉義慈惠石柱頌,顏娟英主編
I0074,比丘尼法藏等造像記,顏娟英主編
I0075,陳榮等三百餘人造像記,顏娟英主編
I0076,阿鹿交村七十人等造石室像記,顏娟英主編
I0077,嚴壽等重修故塔記,顏娟英主編
I0078,比丘道政四十人等造像記,顏娟英主編
I0079,王氏道俗百人造像記,顏娟英主編
I0080,郭顯邕等造一切經記,顏娟英主編
I0081,雷暉嫗造釋迦像記,顏娟英主編
I0082,陳氏合村造像記,顏娟英主編
I0083,雷明香造像記,顏娟英主編
I0084,宋買廿二人等造天宮石像記,顏娟英主編
I0085,韓永義等造像記,顏娟英主編
I0086,潘景暉造碑像記,顏娟英主編
I0087,棲閑寺邑義六十人造像記,顏娟英主編
I0088,劉氏造像記,顏娟英主編
I0089,舜禪師等百餘人造像記,顏娟英主編
I0090,董洪達四十人等造像記,顏娟英主編
I0091,楊暎香等八十人造像記,顏娟英主編
I0092,道略等造神碑像記,顏娟英主編
I0093,永顯寺道端等三百人造像記,顏娟英主編
I0094,興聖寺四十人等造碑像記,顏娟英主編
I0095,唐邕刻經記,顏娟英主編
I0096,馮翊王高潤修平等寺碑,顏娟英主編
I0097,瓽仲義八十人等造像記,顏娟英主編
I0098,臨淮王像碑,顏娟英主編
I0099,建崇寺浮圖銘,顏娟英主編
I0100,比丘尼圓照圓光造雙像記,顏娟英主編
JA042,大慧普覺禪師年譜,宋 祖詠編　張掄序　宗演跋
JA123,起信論疏（選錄「科文」）,宋 子璿脩定
JA158,密雲禪師語錄,明 圓悟說　如瑩等編
JB005,大方廣佛華嚴經普賢行願品別行疏鈔（選錄「華嚴宗七祖行蹟」及「附錄」）,唐 澄觀別行疏　宗密隨疏鈔
JB044,諸經日誦集要,佚名
JB047,瑜伽集要燄口施食儀,唐 不空譯　西夏 不動金剛重集　清 受登詮次　有圖像四十　緣起
JB048,北京五大部直音會韻,明 久隱撰
JB090,續原教論,明 沈士榮著
JB091,道餘錄,明 姚廣孝著並序
JB095,蕅益三頌,明 智旭述並序　三頌為華嚴．楞嚴．法華　有偶拈問答及重刻自跋
JB096,周易禪解,明 智旭著
JB097,天樂鳴空集,明 鮑宗肇述　智旭定
JB098,黃蘗無念禪師復問,明 深有撰　明聞 刪定
JB103,寒山子詩集,唐 閭丘胤集並序　明 王宗沐序　附拾得．豐干詩
JB109,大藏一覽,明 陳實編　姚舜漁重輯
JB110,護法錄,明 宋濂著　袾宏輯　錢謙益訂
JB116,憨山老人夢遊全集,明 德清撰　福善日錄
JB118,密藏開禪師遺稿,明 道開著
JB120,闢邪集,明 鍾始聲著　大朗序　文分天學初徵及天學再徵　附書柬四則　程啟用跋
JB122,醒世錄,清 徐昌治輯
JB125,先覺宗乘（選錄「帝王問道錄」）,明 郭凝之編
JB127,無依道人錄,清 徐昌治著　超悟錄　僧鑑序　附疏稿（原有缺頁）
JB128,普明禪師牧牛圖頌,明 普明原唱　諸方和韻　嚴大參序　清 如念編目　有圖十
JB129,牧牛圖頌,明 普明原輯　性音續集舊跋　清 納信序　明 袾宏序　清 超格序　乾隆四十九年了彙重刊
JB134,五家語錄（選錄）,唐 慧然集　明 郭凝之重訂
JB135,石門文字禪,宋 德洪著　原書缺　依民國十年常州天寧寺刻本印
JB137,趙州和尚語錄,唐 從諗說　文遠記　大參重校　明聲重刻
JB138,雲門匡真禪師語錄,南漢 文偃說　守堅編
JB154,松隱唯菴然和尚語錄,明 德然說　慧省編次
JB155,無趣老人語錄,明 如空說　性沖編
JB156,無幻禪師語錄,明 性沖說　慧廣編集
JB159,天真毒峰善禪師要語,明 本善記　悟深編
JB163,古庭禪師語錄輯略,明 善堅說　各卷首皆題曹溪一滴古庭禪師語錄
JB164,曹溪一滴,明 周理編　附夢語摘要
JB165,大巍禪師竹室集,明 淨倫撰　周理輯　內題曹溪一滴卷六
JB166,浮山法句,明 本智撰　周理輯　內題曹溪一滴卷七　前有明 吳應賓塔銘及王舜鼎夢禪語
JB167,徹庸和尚谷響集,明 徹庸撰　洪如錄　內題曹溪一滴卷八　後附淨土偈一卷
JB171,天隱和尚語錄,明 圓修說　通問等編
JB173,壽昌無明和尚語錄,明 慧經說　元來集
JB174,天界覺浪盛禪師語錄,明 道盛說　大成．大奇等編
JB175,大溈五峰學禪師語錄,明 如學說　清 智海重刻　周堪賡序　有行實　明 陶汝鼐塔銘
JB176,大溈密印寺養拙明禪師語錄,清 正明說　智海編　通雲序　陶之典序　有行實　周堪賡塔銘　附大溈四記一卷
JB177,破山禪師語錄,清 海明說　印正等編　附年譜　印巒等輯　印綬等編　原書缺依駒本印
JB178,費隱禪師語錄,明 通容說　隆琦等編　附紀年錄　行觀．王谷同集　徐昌治．董行證較　行宗．行古重訂刻
JB180,天童弘覺忞禪師北遊集,清 道忞說　真樸編次
JB181,布水臺集,明 道忞著（中央圖書館善本書目編在集部別集類）
JB182,萬如禪師語錄,清 通微說　行猷等編
JB183,雪竇石奇禪師語錄,清 通雲說　行正等編錄
JB184,牧雲和尚七會語錄,清 通門說　行瑋等編
JB185,浮石禪師語錄,明 通賢說　行浚等編
JB186,林野奇禪師語錄,明 通奇說　行謐等編
JB187,天岸昇禪師語錄,清 昇說　元玉等記錄
JB188,入就瑞白禪師語錄,明 明雪說　寂蘊編
JB189,三宜盂禪師語錄,明 明盂說　淨範等編
JB190,石雨禪師法檀,明 明方說　淨柱編
JB191,象田即念禪師語錄,明 淨現說　淨癡等錄
JB192,大休珠禪師語錄,清 珠說　廣熙等錄
JB193,隱元禪師語錄,清 隆琦說　海寧等編
JB194,昭覺丈雪醉禪師語錄,清 通醉說　徹綱等編
JB196,鴛湖用禪師語錄,清 妙用說　悟進．悟元等編
JB197,博山無異大師語錄集要,明 元來說　成正錄　元賢集
JB198,雪關禪師語錄,明 智誾說　成巒等錄　開詗編
JB199,雪關和尚語錄,明 智誾說　傳善輯
JB200,石霜爾瞻尊禪師語錄,清 達尊說　本開等記錄
JB202,百癡禪師語錄,清 元 說　超宣等編
JB203,雲峨喜禪師語錄,清 喜 說　智恒等編
JB204,斌雅禪師語錄,清 鑑 說　海岳記錄
JB205,介為舟禪師語錄,清 行舟說　海鹽．益證等編
JB206,笑堂和尚語錄,清 說　超源等記錄　超晙等編
JB207,古瓶山牧道者究心錄,明 真本說　機峻等編
JB208,古雪哲禪師語錄,明 真哲說　傳我等編
JB209,永濟融禪師語錄,清 融說　師住．妙印等錄
JB210,伏獅祇園禪師語錄,清 行剛（尼）說　授遠．超宿等編
JB211,季總徹禪師語錄,清 徹（尼）說　超祥記錄
JB212,二隱謐禪師語錄,清 謐說　超巨．超秀等編
JB213,芝巖秀禪師語錄,清 秀說　明一等編
JB214,蕅益大師佛學十種（選錄「性學開蒙」．「梵室偶談」兩種）,明 智旭著
JB215,頌古合響集,明 徹（尼）．符（尼）合頌　張有譽輯並序
JB216,絕餘編,明 智旭著　圓果錄
JB218,懶石聆禪師語錄,清 聆說　海瑞等錄
JB219,紫竹林顓愚衡和尚語錄,清 觀衡說　正印重編
JB220,法璽印禪師語錄,清 印說　性圓等編
JB221,楞嚴法璽印禪師語錄,清 印說　旋性記錄
JB222,夔州臥龍字水禪師語錄,明 圓䂐說　觀誰等錄
JB223,山暉禪師語錄,清 璧說　如崇等錄　宗上編
JB224,嵩山野竹禪師錄,清 福慧說　宗宏錄　宗上．宗堅仝編
JB225,鄂州龍光達夫禪師雞肋集,清 蘊上說　道汜．道沖等錄（依駒本印）
JB226,頌古鉤鉅,清 蘊上頌并跋　蘊宏著語（依駒本印）
JB227,集文字禪,清 蘊上著　舒峻極序　杜國柱序（依駒本印）
JB229,法瀾澂禪師語錄,清 原澂說　清杲編次（依駒本印）
JB230,天王水鑑海和尚六會錄,清 慧海說　原澂等編（依駒本印）
JB231,天王水鑑海和尚五會錄,清 慧海說　原澂等編
JB232,天王水鑑海和尚住金粟語錄,清 慧海說　原澂．原上等編
JB233,介菴進禪師語錄,清 悟進說　真理等編　附源流頌
JB234,一初元禪師語錄,清 元說　真開．真智等編
JB235,蓮月禪師語錄,清 道正說　性容等錄
JB236,玉泉蓮月正禪師語錄,清 道正說　發慧等錄
JB237,月幢了禪師語錄,清 了說　達最等編
JB238,聚雲吹萬真禪師語錄,明 廣真說　燈來編
JB239,吹萬禪師語錄,明 廣真說　燈來重編（依駒本印）
JB240,慶忠鐵壁機禪師語錄,明 慧機說　燈來編
JB241,慶忠鐵壁機禪師語錄,明 慧機說　幻敏重編（依駒本印）
JB242,鐵眉三巴掌禪師語錄,明 鐵眉號三巴掌說　性養．性亮同編
JB243,耳庵嵩禪師語錄,清 嵩說　性愷編　徐善序　有附記
JB244,三山來禪師語錄,清 燈來說　普定編（原目二十八卷　卷十七下註有「嗣刻」二字　此為初刻本）
JB245,高峰三山來禪師年譜,清 性統編　至善序（依駒本印）
JB246,嘉興退菴斷愚智禪師語錄,清 智說　機輪等編
JB247,普光坦菴禪師語錄,清 機峻說　全弘錄　羅開麟序（依駒本印）
JB248,達變權禪師語錄,清 顯權說　海澂錄
JB249,方融璽禪師語錄,清 如璽說　興林等編　附淨土詩
JB259,怡山禮佛發願文略釋,清 書玉略釋並序跋　有事義（依駒本印）
JB260,大懺悔文略解,清 書玉略解（依駒本印）
JB267,牧雲和尚嬾齋別集,明 通明撰　毛晉編
