典籍編號,典籍名稱,卷數,作譯者,type
B0032,七十空性論科攝,1,龍樹造　法尊譯　弘悲科攝,text
B0033,大乘修心七義論釋,1,無著賢造　慧海等譯,text
B0034,辨法法性論,1,彌勒造　法尊譯,text
B0035,西藏傳本攝大乘論,1,無著造　呂澂譯,text
B0036,三自性論,1,世親造　劉孝蘭譯,text
B0037,集量論釋略抄,1,呂澂輯,text
B0038,安慧三十唯識釋略抄,1,呂澂輯,text
B0039,觀所緣釋論會譯,1,呂澂．印滄編,text
B0040,集量論略解,6,陳那著　法尊譯編,text
B0041,正理滴論（譯自梵文本）,1,法稱著　王森譯,text
B0042,正理滴論（譯自西藏文本）,1,法稱著　楊化群譯,text
B0043,釋量論略解,9,法稱著　僧成釋　法尊譯,text
B0044,入中論善顯密意疏,14,宗喀巴造　法尊譯,text
B0045,入中論講記,1,月稱造頌　法尊譯講,text
B0046,中論略義,1,宗喀巴著　潭影譯,text
B0047,中論文句釋,1,僧成釋　常浩譯,text
B0048,辨了不了義善說藏論,5,宗喀巴造　法尊譯,text
B0049,菩提道炬論,1,阿底霞造　超一譯,text
B0050,地道建立,1,三寶無畏王造　法尊譯,text
B0051,菩提道次恒修教授,1,札迦說　法尊譯,text
B0052,緣起讚,1,宗喀巴著　法尊譯,text
B0053,集諸學頌,1,寂靜造　超一譯,text
B0054,菩提道次第論攝頌,1,宗喀巴造　超一譯,text
B0055,菩提道次第論極略頌,1,宗喀巴著　超一譯,text
B0056,西藏法寶貫珠,1,達瓦桑杜譯英　伊文思溫慈編註　趙洪鑄譯漢,text
B0057,密宗道次第論,5,克主著　法尊譯,text
B0058,涅般道大手印瑜伽法要釋,1,白蓮花造　光明心譯,text
B0059,明行道六成就法,1,珀瑪迦爾著　張妙定蓮菩提金剛正譯,text
B0060,頗哇心要轉識自在法,1,達瓦桑杜譯英　伊文思溫慈纂集　張妙定蓮菩提金剛正譯漢,text
B0061,椎擊三要訣勝法解,1,大善解功德主著　貢噶傳　滿空譯,text
B0062,貢噶上師恒河大手印直講,1,貢噶講,text
B0063,大密妙義深道六法引導廣論纂要,1,吉祥造　鍾伯毅纂,text
B0064,大圓滿,1,郭元興著　慈威校註,text
B0065,菩提道次第略論,6,宗喀巴著　邢肅芝譯,text
B0066,菩提道次第直講,6,宗喀巴著　大勇口譯　智湛筆錄,text
B0067,菩提道次第廣論,24,宗喀巴著　法尊譯,text
B0068,密宗道次第廣論,22,宗喀巴著　法尊譯,text
B0069,七系付法傳,7,多羅那他著　郭元興譯,text
B0070,安樂妙寶,1,金慧暢編,text
B0071,蓮華生大士應化史略,15,諾那呼圖克圖逞列匠磋譯,text
B0072,阿底峽尊者傳,5,法尊譯述,text
B0073,木納記,29,惹穹多傑札把著　多傑譯述　張心若筆錄,text
B0074,宗喀巴大師傳,5,法尊譯述,text
B0075,西藏王臣護法記,26,第五世達賴喇嘛著　郭和卿譯,text
B0076,印度佛教史,44,達喇那他著　王沂暖譯,text
B0077,洛陽伽藍記校釋,5,楊衒之著　周祖謨校釋,text
B0078,洛陽伽藍記校注,5,楊衒之著　范祥雍校注,text
B0079,釋氏六帖,24,義楚集,text
B0080,大唐西域記（校點本）,12,玄奘口述　辯機編纂,text
B0081,雙峰山曹侯溪寶林傳（殘卷）,7,智炬著,text
B0082,傳燈玉英集（殘卷）,9,王隨編,text
B0084,藏逸經書標目,1,密藏編,text
B0085,憨山大師年譜疏註,2,福善記錄　福徵述疏,text
B0086,南朝寺考,1,劉世珩著,text
B0087,合訂天台三聖二和詩集,1,寒山．豐干．拾得原詩　梵琦．濟岳和,text
B0088,古今圖書集成選輯（上）,158,"",text
B0089,太平廣記選輯（卷八十七～一三四）,48,李昉等編纂,text
B0090,酉陽雜俎選輯（前集、續集等六篇）,6,段成式著,text
B0091,正史選輯（晉書、宋書、梁書、魏書、隋書、舊唐書、元史、明史）,10,"",text
B0092,唐會要、五代會要、明書、明會典選輯,8,"",text
B0093,象教皮編（六卷全）,6,陳士元編,text
B0094,冊府元龜選輯,4,王欽若、楊億等著,text
B0095,入唐求法巡禮行記,4,圓仁著,text
B0096,佛教繪畫史料,6,"",text
B0097,歸元鏡,2,智達著,text
B0098,高旻寺規約,3,來果著,text
B0099,相宗絡索,1,王夫之著,text
B0101,絕觀論,1,菩提達磨（？）著,text
B0103,禪林象器箋,30,無著道忠著,text
B0116,金剛般若波羅蜜經集註,1,明成祖朱棣集註,text
B0117,三藏法數,38,一如等編　丁福保重校,text
B0118,律宗燈譜,8,源諒著　劉霞彩編,text
B0119,天然和尚年譜,1,汪宗衍著,text
B0130,靈峰宗論（選錄〈蕅益大師年譜〉、〈書重刻靈峰宗論後〉、〈刻闢邪集序〉）,1,智旭著,text
B0131,法海觀瀾,5,智旭輯,text
B0132,尚直編,2,空谷景隆著,text
B0133,尚理編,1,空谷景隆著,text
B0134,闢邪集（選錄）,2,鍾始聲著,text
B0135,蒲室集,15,笑隱大訢著,text
B0136,選佛譜,6,智旭著,text
B0137,正名錄,14,智楷著,text
B0139,獻花巖志,1,陳沂著,text
B0140,雪峰志,10,徐𤊹纂輯,text
B0141,嵩山少林寺輯志,11,輯自傅梅撰《嵩書》,text
B0142,新校定的敦煌寫本神會和尚遺著兩種,1,胡適校定,text
B0143,神會和尚語錄的第三個敦煌寫本：南陽和尚問答雜徵義（劉澄集）,1,胡適校定,text
B0144,祖堂集,20,靜、筠二禪德編著,text
B0145,天目中峰廣錄,30,中峰明本著,text
B0146,房山雲居寺石經──經文、題記、碑銘等拓片之選輯,5,"",text
B0147,三階教殘卷,17,矢吹慶輝輯,text
B0148,東坡禪喜集,9,徐長孺輯,text
B0149,鳴道集說,5,李屏山著,text
B0150,道餘錄（選錄「姚少師道餘錄跋」）,1,姚廣孝著,text
B0151,新續高僧傳,65,喻謙著,text
B0152,普濟玉琳國師語錄,14,音緯等編,text
B0153,法藏碎金錄,10,晁逈著,text
B0155,聖朝破邪集,8,徐昌治編,text
B0156,佛法金湯,3,屠隆著,text
B0157,楊仁山居士遺書,24,楊文會著,text
B0158,陰騭文圖,1,費丹旭繪圖　許光清集證,text
B0159,了凡四訓,1,袁了凡著,text
B0160,金陵梵剎志,53,葛寅亮著,text
B0161,武林梵志,12,吳之鯨著,text
B0163,重修曹溪通志,8,馬元、釋真樸重修,text
B0169,朝鮮寺剎史料,2,"",text
B0170,朝鮮佛教通史,3,李能和著,text
B0171,八宗綱要鈔,2,凝然述,text
B0172,出定後語,2,富永仲基著,text
B0173,元亨釋書,30,師鍊著,text
B0174,參天台五台山記,8,成尋著,text
B0175,喫茶養生記,2,榮西著,text
B0176,四宗要文,3,日朝著　英園纂補,text
B0177,本朝諸宗要集,5,義觀述,text
B0178,東大寺六宗未決義,1,"",text
B0179,八海含藏,1,師鍊著,text
B0180,華嚴通關,1,定仙著,text
B0181,諸宗教理同異釋,1,賴瑜釋,text
B0182,內典塵露章,1,凝然述,text
B0183,禪祖念佛集,2,慧中集,text
B0184,顯揚正法復古集,2,普寂著,text
B0185,初學題額集,3,良山集,text
B0186,三國佛法傳通緣起,3,凝然述,text
B0187,二障義,1,元曉著,text
B0189,大華嚴一乘法界圖註并序,1,雪岑著,text
B0190,華嚴經釋題,1,雪岑著,text
B0191,義相法師法性偈,1,有聞科註　聖奎證正,text
B0192,釋文紀,45,梅鼎祚輯,text
B0193,吳都法乘,30,周永年編,text
B0194,中華大藏經總目錄,8,蔡念生編,text
B0195,頓悟大乘政理決,1,王錫著 ,text
B0196,大乘中宗見解,1,"",text
B0197,摩訶婆羅多的故事,1,拉賈戈帕拉查理改寫　唐季雍譯,text
B0198,博伽梵歌,18,雅蘇瑪蒂書達．踏薩譯,text
C1163,一切經音義,25,唐 玄應撰,text
C1169,紹興重雕大藏音,3,宋 處觀著,text
C1665,菩薩名經,10,宋 羅濬集,text
C1666,梵本大悲神咒,1,,text
C1679,御製佛賦,2,宋 趙炅撰,text
C1680,御製詮源歌,1,宋 趙炅撰,text
C1710,古尊宿語錄,48,宋 頤藏主集　明 淨戒重校,text
C1720,禪宗頌古聯珠通集,21,宋 法應集　元 普會續集　明 淨戒重校,text
C1821,楞伽經纂,4,劉宋 求那跋陀羅譯經　宋 楊彥國詮註,text
C1937,大明重刊三藏聖教目錄,3,明 雙徑山僧眾編,text
D8679,佛說佛名經（存卷四）,1,,text
D8680,佛說佛名經（存卷七）,1,,text
D8701,盂蘭盆經講經文（前殘）,1,,text
D8724,報恩金剛經文十二段,1,唐 楊仙鸖撰,text
D8774,羯磨文（前殘）,1,,text
D8775,式叉摩那尼六法,1,,text
D8779,鳩摩羅什法師誦法（後殘）,1,東晉 釋慧融等集,text
D8780,小鈔,1,,text
D8790,佛性觀（前殘）,1,,text
D8814,佛頂尊勝陀羅尼等靈異神咒二十道,1,,text
D8817,佛說觀世音三昧經,1,,text
D8820,新菩薩經,1,,text
D8838,金剛般若波羅蜜經（註解）,1,元 釋思聰註解,text
D8842,般若心經註解,1,日本 釋圓耳撰,text
D8853,梵網古跡抄,8,,text
D8859,楞嚴妙指,10,明 釋弘演撰,text
D8862,楞嚴經四依解,10,明 釋觀衡述,text
D8863,大日經疏指心鈔,16,唐 釋一行撰,text
D8864,大日經劫心義章,3,日本 釋運敞撰,text
D8869,惟教三昧（存卷下　前殘）,1,,text
D8871,□者眷屬,1,,text
D8874,成實論義記（存卷中　前殘）,1,唐 釋其甲撰,text
D8879,成唯識論訂正,10,明 釋廣伸撰,text
D8880,成唯識論述記序釋,1,日本 釋善珠撰,text
D8881,菩提心論問題,2,日本 釋善珠撰,text
D8882,菩提心論口筆,1,日本 釋實順撰,text
D8883,百法問答聞書抄,6,,text
D8885,因明入正理論後記,6,清 吳樹虛撰,text
D8888,表無表章詮要鈔,6,唐 釋窺基撰,text
D8889,教相樞要鈔,2,日本 釋高範撰,text
D8890,唐三藏法師唯識量質疑錄,2,清 吳樹虛撰,text
D8891,表無表章詳體文集,3,日本 釋叡尊撰,text
D8892,略述法相義依釋,3,日本 釋高範撰,text
D8893,法宗原私記,2,日本 釋龍謙撰,text
D8894,頌義八拔萃,5,,text
D8895,略述法相義,3,日本 釋良光撰,text
D8896,唯識義,6,日本 釋真興撰,text
D8898,脩大方廣佛華嚴法界觀,1,唐 釋杜順編,text
D8899,圭峰禪師原人論發微錄,1,宋 釋淨源撰,text
D8903,天台名目類聚鈔,7,日本 釋貞舜撰,text
D8904,西谷名目句解,7,,text
D8905,選擇傳弘決疑鈔,5,日本 釋良忠撰,text
D8913,識知淨土論,1,日本 弁阿撰,text
D8914,釋淨土群疑論探要記,14,,text
D8915,禪門偈（前殘）,1,,text
D8930,特賜興禪大燈國師參詳語要,2,日本 釋妙超撰,text
D8936,正信念佛偈私見聞,5,日本 釋空誓撰,text
D8939,古尊宿語錄,33,,text
D8942,四家錄,4,元 釋海島編,text
D8945,雪峰空和尚外集,1,宋 釋慧空撰　釋惠然編,text
D8948,佛國禪師語錄,2,元 釋無學撰　釋妙環等編,text
D8951,如來香,14,清 唐時編,text
D8952,為二太子中元盂蘭薦福文,1,,text
D8953,結壇散食迴向發願文（首尾殘缺）,1,,text
D8954,儀註備簡,10,明 釋大惠撰,text
D8980,冥樞會要,3,宋 釋祖心編,text
D9000,空谷集,3,明 釋景隆撰,text
D9010,閱藏隨錄,1,明 王芥庵撰,text
D9011,藏經值畫一目錄,1,,text
D9021,知儒編,1,明 周夢秀撰,text
D9025,淨土三部經音義集,4,日本 釋信瑞撰,text
D9026,大悲觀世音菩薩至道禮文,1,,text
D9027,道安法師念佛讚文附入山讚文,1,,text
D9031,僧家禮儀文,1,朝鮮 釋冲絢撰,text
F0016,大王觀世音經,1,,text
F0041,比丘尼羯磨經,1,劉宋 求那跋摩譯,text
F0069,因果本起經,1,宋 求那跋陀羅譯,text
F0088,佛說灌頂章句拔除過罪生死得度經,1,東晉 帛尸梨密多羅譯,text
F0089,佛說恒水流樹經,1,劉宋 天竺三藏求那跋陀羅譯,text
F0100,金剛般若波羅蜜經（御注並序）,1,唐 玄宗李隆基注,text
F0181,大般若關,1,,text
F0248,佛說救護身命經,1,比丘道真譯,text
F0546,大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」）,1,遼 通理大師集,text
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,1,唐 南天竺國三藏金剛智譯,text
F1048,一切如來白傘蓋大佛頂陀羅尼,1,唐 不空譯,text
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,1,唐 不空譯,text
F1056,梵本般若波羅蜜多心經,1,唐 不空譯,text
F1060,梵本般若波羅蜜多心經,1,宋 慈賢譯,text
F1061,大隨求陀羅尼,1,宋 慈賢譯,text
F1062,佛頂尊勝陀羅尼,1,宋 慈賢譯,text
F1063,一切如來白傘蓋大佛頂陀羅尼,1,宋 慈賢譯,text
F1064,大悲心陀羅尼,1,宋 慈賢譯,text
F1071,釋教最上乘秘密藏陀羅尼集,30,行琳集,text
F1072,一切佛菩薩名集,22,德雲集,text
F1076,發菩提心戒,1,石經寺主講經律沙門志仙記,text
F1081,一乘法界圖合詩一印,1,儼法師造,text
F1082,釋華嚴漩澓偈,1,南岳般舟道場比丘惟勁釋,text
F1083,漩澓偈,1,杜順法師造,text
F1084,健拏標訶一乘修行者秘密義記,1,大香山隱士釋法藏述,text
F1098,高上玉皇本行集經髓,1,,text
F1099,無上玉皇心印經,1,,text
G1222,一字頂輪王瑜伽經,1,唐 不空譯,text
G1977,科始終心要,1,唐 湛然述,text
G2073,大明太宗文皇帝御製文殊讚,1,明 太宗御製,text
G2075,御製釋迦牟尼佛讚,1,明 太宗御製,text
G2084,坐禪箴,1,日本 道元撰,text
G2086,三根坐禪說,1,日本 瑩山撰,text
GA0002,洛陽伽藍記集證,6,清 吳若準集證,text
GA0003,洛陽伽藍記鉤沈,5,民國 唐晏鉤沈,text
GA0004,洛陽伽藍記合校本,8,民國 張宗祥合校,text
GA0005,南朝佛寺志,2,清 孫文川撰　陳作霖編,text
GA0008,重修普陀山志,6,明 周應賓撰,text
GA0009,普陀洛迦新志,12,民國 王亨彥撰,text
GA0010,明州阿育王山志,10,明 郭子章撰,text
GA0011,明州阿育王山續志,6,清 釋畹荃撰,text
GA0012,天童寺志,10,清 聞性道．釋德介撰,text
GA0013,七塔寺志,8,民國 陳寥士撰,text
GA0014,明州岳林寺志,6,清 戴明琮撰,text
GA0015,大昭慶律寺志,10,清 吳樹虛撰,text
GA0017,玉岑山慧因高麗華嚴教寺志,12,明 李翥撰　清 丁丙補,text
GA0018,鳳凰山聖果寺志,1,清 釋超乾撰,text
GA0019,武林理安寺志,8,清 杭世駿撰,text
GA0020,龍井見聞錄,12,清 汪孟鋗撰,text
GA0021,武林靈隱寺志,8,清 孫治撰　徐增重編,text
GA0022,增修雲林寺志,8,清 厲鶚．張熷撰,text
GA0023,雲林寺續志,8,清 沈鑅彪撰,text
GA0024,杭州上天竺講寺志,15,明 釋廣賓撰,text
GA0025,雲居聖水寺志,7,清 釋𧧌湛．釋明倫原輯　釋通淵．釋實懿重纂,text
GA0028,龍興祥符戒壇寺志,12,清 張大昌撰,text
GA0029,西谿梵隱志,4,清 吳本泰撰　釋智一編,text
GA0030,崇福寺志,4,清 朱文藻撰,text
GA0031,續崇福寺志,2,清 章庭棫撰,text
GA0032,徑山志,14,明 宋奎光撰,text
GA0036,破山興福寺志,5,明 程嘉燧撰　蘇先繪圖,text
GA0043,寒山寺志,3,清 葉昌熾纂,text
GA0049,峨眉山志,8,清 蔣超撰　民國 釋印光重修,text
GA0062,泉州開元寺志,1,明 釋元賢撰,text
GA0077,九華山志,8,民國 釋印光重修,text
GA0081,清涼山志,8,民國 釋印光重修,text
GA0084,雞足山寺志,10,明 錢邦纂　清 茫承勳增修,text
GA0086,黃檗山寺志,8,"清 性幽獨往等編訂續修",text
GA0089,天台山方外志,30,"清 釋傳燈編撰",text
GB0109,徑山集,3,明 釋宗淨集,text
I0001,宕昌公暉福寺碑,1,顏娟英主編,text
I0002,姚伯多等造像記,1,顏娟英主編,text
I0003,元景造石窟記,1,顏娟英主編,text
I0004,韓貞等造石窟記,1,顏娟英主編,text
I0005,劉未等造像記,1,顏娟英主編,text
I0006,高伏德等三百人造像記,1,顏娟英主編,text
I0007,比丘法雅等千人造九級浮圖碑,1,顏娟英主編,text
I0008,張道智造像記,1,顏娟英主編,text
I0009,高洛周七十人等造像記,1,顏娟英主編,text
I0010,僧暈等造像記,1,顏娟英主編,text
I0011,馮神育等二百廿人造像碑,1,顏娟英主編,text
I0012,嵩顯寺碑,1,顏娟英主編,text
I0013,南石窟寺碑,1,顏娟英主編,text
I0014,比丘郭曇勝造像記,1,顏娟英主編,text
I0015,張安世造像記,1,顏娟英主編,text
I0016,比丘劉僧真等造像記,1,顏娟英主編,text
I0017,夫蒙文慶造像記,1,顏娟英主編,text
I0018,張乾度七十人等造像記,1,顏娟英主編,text
I0019,錡雙胡廿人等造像記,1,顏娟英主編,text
I0020,袁永等五十人造像記,1,顏娟英主編,text
I0021,馬鳴寺根法師碑,1,顏娟英主編,text
I0022,比丘尼統慈慶墓誌銘,1,顏娟英主編,text
I0023,孫遼浮圖銘,1,顏娟英主編,text
I0024,仇臣生造像記,1,顏娟英主編,text
I0025,常煥等造浮圖記,1,顏娟英主編,text
I0026,蔣伯仙造像記,1,顏娟英主編,text
I0027,杜善勝合邑七十人造像記,1,顏娟英主編,text
I0028,大覺寺元尼墓誌銘并序,1,顏娟英主編,text
I0029,僧智薛鳳規等道俗造像記,1,顏娟英主編,text
I0030,廣業寺造像碑,1,顏娟英主編,text
I0031,儁蒙文姬卅一人等造像記,1,顏娟英主編,text
I0032,大魏故昭玄沙門大統令法師墓誌銘,1,顏娟英主編,text
I0033,法義兄弟等二百人造像記,1,顏娟英主編,text
I0034,中岳嵩陽寺碑,1,顏娟英主編,text
I0035,張法壽息榮遷等造像記,1,顏娟英主編,text
I0036,安村道俗一百餘人修塔記,1,顏娟英主編,text
I0037,白實等造中興寺石像記,1,顏娟英主編,text
I0038,僧演造像記,1,顏娟英主編,text
I0039,合邑四十人造像記,1,顏娟英主編,text
I0040,凝禪寺三級浮圖碑,1,顏娟英主編,text
I0041,敬史君碑,1,顏娟英主編,text
I0042,巨始光等造像碑,1,顏娟英主編,text
I0043,李氏合邑造像碑,1,顏娟英主編,text
I0044,李贊邑等邑義五百餘人造像碑,1,顏娟英主編,text
I0045,道俗九十人造像記,1,顏娟英主編,text
I0046,王貳郎法義三百人等造像記,1,顏娟英主編,text
I0047,朱永隆七十人等造像記,1,顏娟英主編,text
I0048,報德玉像七佛頌碑,1,顏娟英主編,text
I0049,杜照賢十三人等造像記,1,顏娟英主編,text
I0050,陳神姜等造像記,1,顏娟英主編,text
I0051,邑子七十人等造大道如來記,1,顏娟英主編,text
I0052,比丘道造像記,1,顏娟英主編,text
I0053,杜英儁等十四人造像記,1,顏娟英主編,text
I0054,道俗卅七人造經像記,1,顏娟英主編,text
I0055,邢多五十人等造像記,1,顏娟英主編,text
I0056,馬敬賢五十人等造像記,1,顏娟英主編,text
I0057,葉容等造像記,1,顏娟英主編,text
I0058,李清造報德像碑,1,顏娟英主編,text
I0059,郭猛八十人等造塔像記,1,顏娟英主編,text
I0060,趙郡王高叡定國寺碑,1,顏娟英主編,text
I0061,趙郡王高叡修定國寺頌,1,顏娟英主編,text
I0062,靜明等修塔造像記,1,顏娟英主編,text
I0063,劉碑造像記,1,顏娟英主編,text
I0064,強獨樂為周文王造像碑,1,顏娟英主編,text
I0065,宋敬業等造塔記,1,顏娟英主編,text
I0066,魯思明等造寺記,1,顏娟英主編,text
I0067,董黃頭七十人等造像記,1,顏娟英主編,text
I0068,東平郡須昌縣□檀寺造經碑,1,顏娟英主編,text
I0069,方法師鏤石班經記,1,顏娟英主編,text
I0070,周大將軍延壽公碑頌,1,顏娟英主編,text
I0071,陳神忻七十二人等造石室記,1,顏娟英主編,text
I0072,彭城王高浟修寺碑,1,顏娟英主編,text
I0073,標異鄉義慈惠石柱頌,1,顏娟英主編,text
I0074,比丘尼法藏等造像記,1,顏娟英主編,text
I0075,陳榮等三百餘人造像記,1,顏娟英主編,text
I0076,阿鹿交村七十人等造石室像記,1,顏娟英主編,text
I0077,嚴壽等重修故塔記,1,顏娟英主編,text
I0078,比丘道政四十人等造像記,1,顏娟英主編,text
I0079,王氏道俗百人造像記,1,顏娟英主編,text
I0080,郭顯邕等造一切經記,1,顏娟英主編,text
I0081,雷暉嫗造釋迦像記,1,顏娟英主編,text
I0082,陳氏合村造像記,1,顏娟英主編,text
I0083,雷明香造像記,1,顏娟英主編,text
I0084,宋買廿二人等造天宮石像記,1,顏娟英主編,text
I0085,韓永義等造像記,1,顏娟英主編,text
I0086,潘景暉造碑像記,1,顏娟英主編,text
I0087,棲閑寺邑義六十人造像記,1,顏娟英主編,text
I0088,劉氏造像記,1,顏娟英主編,text
I0089,舜禪師等百餘人造像記,1,顏娟英主編,text
I0090,董洪達四十人等造像記,1,顏娟英主編,text
I0091,楊暎香等八十人造像記,1,顏娟英主編,text
I0092,道略等造神碑像記,1,顏娟英主編,text
I0093,永顯寺道端等三百人造像記,1,顏娟英主編,text
I0094,興聖寺四十人等造碑像記,1,顏娟英主編,text
I0095,唐邕刻經記,1,顏娟英主編,text
I0096,馮翊王高潤修平等寺碑,1,顏娟英主編,text
I0097,瓽仲義八十人等造像記,1,顏娟英主編,text
I0098,臨淮王像碑,1,顏娟英主編,text
I0099,建崇寺浮圖銘,1,顏娟英主編,text
I0100,比丘尼圓照圓光造雙像記,1,顏娟英主編,text
JA042,大慧普覺禪師年譜,1,宋 祖詠編　張掄序　宗演跋,text
JA123,起信論疏（選錄「科文」）,1,宋 子璿脩定,text
JA158,密雲禪師語錄,12,明 圓悟說　如學等編,text
JB005,大方廣佛華嚴經普賢行願品別行疏鈔（選錄「華嚴宗七祖行蹟」及「附錄」）,1,唐 澄觀別行疏　宗密隨疏鈔,text
JB044,諸經日誦集要,3,佚名,text
JB047,瑜伽集要燄口施食儀,1,唐 不空譯　西夏 不動金剛重集　清 受登詮次　有圖像四十　緣起,text
JB048,北京五大部直音會韻,2,明 久隱撰,text
JB090,續原教論,2,明 沈士榮著,text
JB091,道餘錄,1,明 姚廣孝著並序,text
JB095,蕅益三頌,1,明 智旭述並序　三頌為華嚴．楞嚴．法華　有偶拈問答及重刻自跋,text
JB096,周易禪解,10,明 智旭著,text
JB097,天樂鳴空集,3,明 鮑宗肇述　智旭定,text
JB098,黃蘗無念禪師復問,6,明 深有撰　明 聞刪定,text
JB103,寒山子詩集,1,唐 閭丘胤集並序　明 王宗沐序　附拾得．豐干詩,text
JB109,大藏一覽,10,明 陳實編　姚舜漁重輯,text
JB110,護法錄,10,明 宋濂著　袾宏輯　錢謙益訂,text
JB116,憨山老人夢遊全集,5,明 德清撰　福善日錄,text
JB118,密藏開禪師遺稿,2,明 道開著,text
JB120,闢邪集,1,明 鍾始聲著　大朗序　文分天學初徵及天學再徵　附書柬四則　程啟用跋,text
JB122,醒世錄,8,清 徐昌治輯,text
JB125,先覺宗乘（選錄「帝王問道錄」）,1,明 郭凝之編,text
JB127,無依道人錄,2,清 徐昌治著　超悟錄　僧鑑序　附疏稿（原有缺頁）,text
JB128,普明禪師牧牛圖頌,1,明 普明原唱　諸方和韻　嚴大參序　清 如念編目　有圖十,text
JB129,牧牛圖頌,1,明 普明原輯　性音續集舊跋　清 納信序　明 袾宏序　清 超格序　乾隆四十九年了彙重刊,text
JB134,五家語錄（選錄）,2,唐 慧然集　明 郭凝之重訂,text
JB135,石門文字禪,30,宋 德洪著　原書缺　依民國十年常州天寧寺刻本印,text
JB137,趙州和尚語錄,3,唐 從諗說　文遠記　大參重校　明聲重刻,text
JB138,雲門匡真禪師語錄,3,南漢 文偃說　守堅編,text
JB154,松隱唯菴然和尚語錄,3,明 德然說　慧省編次,text
JB155,無趣老人語錄,1,明 如空說　性沖編,text
JB156,無幻禪師語錄,2,明 性沖說　慧廣編集,text
JB159,天真毒峰善禪師要語,1,明 本善記　悟深編,text
JB163,古庭禪師語錄輯略,4,明 善堅說　各卷首皆題曹溪一滴古庭禪師語錄,text
JB164,曹溪一滴,1,明 周理編　附夢語摘要,text
JB165,大巍禪師竹室集,1,明 淨倫撰　周理輯　內題曹溪一滴卷六,text
JB166,浮山法句,1,明 本智撰　周理輯　內題曹溪一滴卷七　前有明 吳應賓塔銘及王舜鼎夢禪語,text
JB167,徹庸和尚谷響集,1,明 徹庸撰　洪如錄　內題曹溪一滴卷八　後附淨土偈一卷,text
JB171,天隱和尚語錄,15,明 圓修說　通問等編,text
JB173,壽昌無明和尚語錄,2,明 慧經說　元來集,text
JB174,天界覺浪盛禪師語錄,12,明 道盛說　大成．大奇等編,text
JB175,大溈五峰學禪師語錄,1,明 如學說　清 智海重刻　周堪賡序　有行實　明 陶汝鼐塔銘,text
JB176,大溈密印寺養拙明禪師語錄,1,清 正明說　智海編　通雲序　陶之典序　有行實　周堪賡塔銘　附大溈四記一卷,text
JB177,破山禪師語錄,20,清 海明說　印正等編　附年譜　印巒等輯　印綬等編　原書缺依駒本印,text
JB178,費隱禪師語錄,14,明 通容說　隆琦等編　附紀年錄　行觀．王谷同集　徐昌治．董行證較　行宗．行古重訂刻,text
